"ms_zoning","lot_frontage","lot_area","street","lot_shape","land_contour","lot_config","land_slope","condition_1","bldg_type","house_style","overall_qual","overall_cond","roof_style","exterior_1st","mas_vnr_type","exter_qual","foundation","bsmt_qual","bsmt_cond","bsmt_exposure","bsmt_fin_type_1","bsmt_fin_sf_1","bsmt_fin_type_2","bsmt_fin_sf_2","bsmt_unf_sf","heating_qc","central_air","x1st_flr_sf","x2nd_flr_sf","low_qual_fin_sf","bsmt_full_bath","full_bath","half_bath","bedroom_abv_gr","kitchen_abv_gr","kitchen_qual","tot_rms_abv_grd","functional","fireplaces","fireplace_qu","garage_type","garage_finish","garage_cars","garage_area","paved_drive","wood_deck_sf","open_porch_sf","enclosed_porch","screen_porch","sale_price","longitude","latitude","neighborhood_tier","log_sale_price","effective_year"
"RL",75,10000,1,"IR1","Lvl","Corner",1,"Norm","1Fam","2Story",6,5,"Gable","HdBoard","None",3,"PConc",4,3,1,1,0,1,0,763,4,1,763,892,0,0,2,1,3,1,3,7,7,1,3,"Attchd",3,2,440,2,157,84,0,0,175900,-93.636947,42.05848,"Premium",12.0776709307256,1994
"RL",63,7980,1,"IR1","Lvl","Inside",1,"Norm","1Fam","1Story",6,7,"Gable","HdBoard","None",3,"PConc",4,3,1,5,935,1,0,233,5,1,1187,0,0,1,2,0,3,1,3,6,7,0,0,"Attchd",3,2,420,2,483,21,0,0,185000,-93.635951,42.057419,"Premium",12.1281111040605,2007
"RL",63,8402,1,"IR1","Lvl","Inside",1,"Norm","1Fam","2Story",6,5,"Gable","VinylSd","None",3,"PConc",4,3,1,1,0,1,0,789,4,1,789,676,0,0,2,1,3,1,3,7,7,1,4,"Attchd",3,2,393,2,0,75,0,0,180400,-93.638647,42.058151,"Premium",12.1029318866107,1998
"RL",85,10176,1,"Reg","Lvl","Inside",1,"Norm","1Fam","1Story",7,5,"Gable","HdBoard","None",3,"PConc",4,3,4,6,637,1,0,663,4,1,1341,0,0,1,1,1,2,1,4,5,7,1,1,"Attchd",1,2,506,2,192,0,0,0,171500,-93.634626,42.057268,"Premium",12.0523385455881,1990
"RL",86,6820,1,"IR1","Lvl","Corner",1,"Norm","TwnhsE","1Story",8,5,"Gable","HdBoard","None",4,"PConc",4,3,3,6,368,4,1120,0,3,1,1502,0,0,1,1,1,1,1,4,4,7,0,0,"Attchd",2,2,528,2,0,54,0,140,212000,-93.632913,42.059169,"Luxury",12.2643415536542,1985
"RL",47,53504,1,"IR2","HLS","CulDSac",0,"Norm","1Fam","2Story",8,5,"Hip","Other","BrkFace",5,"PConc",4,3,4,5,1416,1,0,234,5,1,1690,1589,0,1,3,1,4,1,5,12,4,1,4,"BuiltIn",3,3,841,2,503,36,0,210,538000,-93.62655,42.061239,"Luxury",13.1956138391439,2003
"RL",152,12134,1,"IR1","Bnk","Inside",0,"Norm","1Fam","1.5Fin",8,7,"Gable","Wd Sdng","None",4,"Wood",4,3,3,6,427,1,0,132,4,1,1080,672,0,0,2,0,4,1,3,8,7,0,0,"Basment",2,2,492,2,325,12,0,0,164000,-93.6235954,42.0603514,"Premium",12.0076217068063,2005
"RL",140,19138,1,"Reg","Lvl","Corner",1,"Norm","1Fam","1Story",4,5,"Gable","VinylSd","None",3,"CBlock",3,3,1,2,120,1,0,744,5,1,864,0,0,0,1,0,2,1,3,4,7,0,0,"Detchd",1,2,400,2,0,0,0,0,141000,-93.622971,42.056673,"Premium",11.8565151693603,1951
"RL",85,13175,1,"Reg","Lvl","Inside",1,"Norm","1Fam","1Story",6,6,"Gable","Plywood","Stone",3,"CBlock",4,3,1,5,790,3,163,589,3,1,2073,0,0,1,2,0,3,1,3,7,6,2,3,"Attchd",1,2,500,2,349,0,0,0,210000,-93.636655,42.054453,"Premium",12.2548628096996,1988
"RL",105,11751,1,"IR1","Lvl","Inside",1,"Norm","1Fam","1Story",6,6,"Hip","Plywood","BrkFace",3,"CBlock",4,3,1,4,705,1,0,1139,5,1,1844,0,0,0,2,0,3,1,3,7,7,1,3,"Attchd",2,2,546,2,0,122,0,0,190000,-93.633962,42.050346,"Premium",12.1547793511426,1977
"FV",72,7500,1,"Reg","Lvl","Inside",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","None",4,"PConc",4,3,1,6,533,1,0,281,5,1,814,860,0,1,2,1,3,1,4,7,7,0,0,"Attchd",2,2,663,2,0,96,0,0,216000,-93.639366,42.049297,"Premium",12.2830336866663,2000
"RL",53,11241,1,"IR1","Lvl","CulDSac",1,"Norm","1Fam","1Story",6,7,"Gable","Wd Sdng","BrkFace",3,"CBlock",3,3,1,5,578,1,0,426,5,1,1004,0,0,1,1,0,2,1,3,5,7,1,3,"Attchd",3,2,480,2,0,0,0,0,149000,-93.626231,42.055147,"Mid-Range",11.9117015849276,1970
"RL",53,12537,1,"IR1","Lvl","CulDSac",1,"Norm","1Fam","1Story",5,6,"Gable","VinylSd","None",3,"CBlock",3,3,1,6,734,1,0,344,5,1,1078,0,0,1,1,1,3,1,3,6,7,1,2,"Attchd",3,2,500,2,0,0,0,0,149900,-93.626537,42.054592,"Mid-Range",11.9177236840907,2008
"RL",65,8450,1,"Reg","Lvl","Inside",1,"Norm","1Fam","1Story",5,6,"Gable","VinylSd","None",3,"CBlock",3,3,1,4,775,1,0,281,5,1,1056,0,0,1,1,0,3,1,3,6,7,1,2,"Attchd",1,1,304,2,0,85,184,0,142000,-93.628806,42.055227,"Mid-Range",11.8635823365834,1968
"RL",70,8400,1,"Reg","Lvl","Corner",1,"Norm","1Fam","1Story",4,5,"Gable","Plywood","None",3,"CBlock",3,3,1,5,804,3,78,0,3,1,882,0,0,1,1,0,2,1,3,4,7,0,0,"Attchd",3,2,525,2,240,0,0,0,126000,-93.627112,42.053395,"Mid-Range",11.7440371859336,1970
"RL",70,10500,1,"Reg","Lvl","FR2",1,"Norm","1Fam","1Story",4,5,"Gable","HdBoard","None",3,"CBlock",3,3,1,5,432,1,0,432,3,1,864,0,0,0,1,0,3,1,3,5,7,1,1,"None",0,0,0,2,0,0,0,0,115000,-93.622769,42.056375,"Mid-Range",11.6526874073454,1971
"RH",26,5858,1,"IR1","Lvl","FR2",1,"Norm","TwnhsE","1Story",7,5,"Gable","MetalSd","None",4,"PConc",4,3,1,6,1051,4,0,354,5,1,1337,0,0,1,2,0,2,1,4,5,7,1,2,"Attchd",3,2,511,2,203,68,0,0,184000,-93.624373,42.055318,"Mid-Range",12.1226910365911,1999
"RM",21,1680,1,"Reg","Lvl","Inside",1,"Norm","Twnhs","2Story",6,5,"Gable","HdBoard","BrkFace",3,"CBlock",3,3,1,3,156,1,0,327,3,1,483,504,0,0,1,1,2,1,3,5,7,0,0,"Detchd",1,1,264,2,275,0,0,0,96000,-93.627271,42.051835,"Budget",11.47210347045,1971
"RM",21,1680,1,"Reg","Lvl","Inside",1,"Norm","Twnhs","2Story",5,5,"Gable","HdBoard","BrkFace",3,"CBlock",3,3,1,3,300,1,0,225,3,1,525,567,0,0,1,1,3,1,3,6,7,0,0,"Detchd",1,1,320,2,0,0,0,0,105500,-93.627536,42.051684,"Budget",11.5664662318983,1971
"RL",53,4043,1,"Reg","Lvl","Inside",1,"Norm","TwnhsE","1Story",6,5,"Gable","Plywood","None",3,"CBlock",4,3,1,5,360,1,0,709,3,1,1069,0,0,0,2,0,2,1,3,4,7,1,2,"Attchd",2,2,440,2,0,55,0,165,127500,-93.627232,42.049672,"Mid-Range",11.7558716435806,1977
"RL",24,2280,1,"Reg","Lvl","FR2",1,"Norm","Twnhs","2Story",6,6,"Gable","Plywood","None",3,"CBlock",3,3,1,5,514,1,0,341,3,1,855,601,0,0,2,1,3,1,4,6,7,1,3,"Attchd",1,2,440,2,173,0,0,0,149900,-93.625924,42.050683,"Mid-Range",11.9177236840907,1975
"RL",24,2280,1,"Reg","Lvl","FR2",1,"Norm","Twnhs","1Story",7,6,"Gable","Plywood","None",3,"CBlock",4,3,1,1,0,1,0,836,5,1,836,0,0,0,1,0,2,1,3,4,7,0,0,"Attchd",1,1,308,2,0,30,0,0,120000,-93.625966,42.050681,"Mid-Range",11.6952470217642,1975
"RL",24,2280,1,"Reg","Lvl","Inside",1,"Norm","Twnhs","2Story",6,5,"Gable","Plywood","None",3,"CBlock",4,3,1,5,311,1,0,544,2,1,855,601,0,0,2,1,3,1,3,7,7,1,3,"Attchd",1,2,440,2,26,0,0,0,146000,-93.625848,42.049811,"Mid-Range",11.8913619006905,1978
"RL",98,11478,1,"Reg","Lvl","Inside",1,"Norm","1Fam","1Story",8,5,"Gable","VinylSd","Stone",4,"PConc",5,3,1,6,1218,1,0,486,5,1,1704,0,0,1,2,0,3,1,4,7,7,1,4,"Attchd",2,3,772,2,0,50,0,0,306000,-93.654645,42.062109,"Luxury",12.6313403809345,2008
"RL",90,11520,1,"Reg","Lvl","Inside",1,"PosN","1Fam","1Story",9,5,"Hip","VinylSd","BrkFace",4,"PConc",5,3,1,6,110,1,0,1588,5,1,1698,0,0,0,2,0,3,1,5,7,7,1,4,"Attchd",3,3,730,2,192,74,0,0,275000,-93.65332,42.0608079,"Luxury",12.5245263766487,2005
"RL",79,14122,1,"IR1","Lvl","Inside",1,"Norm","1Fam","1Story",8,5,"Hip","Other","BrkFace",4,"PConc",5,3,1,6,28,1,0,1794,5,1,1822,0,0,0,2,0,3,1,5,8,7,1,4,"Attchd",2,3,678,2,0,119,0,0,259000,-93.652336,42.060879,"Luxury",12.4645833406817,2006
"RL",70,10171,1,"IR1","Lvl","Inside",1,"Norm","1Fam","1Story",7,5,"Gable","VinylSd","BrkFace",4,"PConc",4,3,1,6,2,1,0,1515,5,1,1535,0,0,0,2,0,3,1,4,7,7,0,0,"Attchd",2,2,532,2,0,0,0,0,214000,-93.652307,42.060298,"Luxury",12.273731294004,2004
"RL",110,14300,1,"Reg","HLS","Inside",0,"Norm","1Fam","1Story",9,5,"Hip","VinylSd","BrkFace",5,"PConc",5,3,4,6,1373,1,0,1473,5,1,2696,0,0,1,2,1,3,1,5,10,7,2,4,"Attchd",3,3,958,2,220,150,0,0,500000,-93.656067,42.058599,"Luxury",13.1223633774043,2004
"RL",105,13650,1,"Reg","Lvl","Corner",1,"Norm","1Fam","2Story",8,5,"Gable","VinylSd","BrkFace",4,"PConc",4,3,4,6,578,1,0,1093,5,1,1687,563,0,1,2,1,3,1,4,7,7,1,5,"Attchd",3,3,756,2,238,130,0,0,320000,-93.654853,42.057102,"Luxury",12.6760762747759,2002
"RL",61,7658,1,"Reg","Lvl","Inside",1,"Norm","TwnhsE","1Story",9,5,"Hip","MetalSd","BrkFace",5,"PConc",5,3,1,6,456,1,0,1296,5,1,1752,0,0,1,2,0,2,1,5,6,7,1,4,"Attchd",2,2,576,2,196,82,0,0,319900,-93.654121,42.057164,"Luxury",12.6757637259376,2005
"RL",41,7132,1,"IR1","Lvl","Inside",1,"Norm","TwnhsE","1Story",8,5,"Gable","VinylSd","Stone",4,"PConc",4,3,2,6,24,1,0,1346,5,1,1370,0,0,0,2,0,2,1,4,6,7,1,4,"Attchd",2,2,484,2,120,49,0,0,205000,-93.649447,42.058252,"Luxury",12.2307652581205,2006
"RL",36,2628,1,"Reg","Lvl","Inside",1,"Norm","Twnhs","2Story",7,5,"Gable","VinylSd","Stone",4,"PConc",4,3,1,1,0,1,0,764,5,1,764,862,0,0,2,1,2,1,4,6,7,0,0,"BuiltIn",2,2,474,2,0,27,0,0,175500,-93.651013,42.057181,"Luxury",12.0753943218881,2003
"RL",100,18494,1,"IR1","Lvl","Corner",1,"Norm","1Fam","1Story",6,5,"Gable","VinylSd","None",4,"PConc",4,3,1,1,0,1,0,1324,5,1,1324,0,0,0,2,0,3,1,4,6,7,0,0,"Attchd",3,2,430,2,36,23,0,0,199500,-93.644356,42.061928,"Premium",12.2035695153121,2005
"RL",43,3203,1,"Reg","Lvl","Inside",1,"Norm","TwnhsE","1Story",7,5,"Gable","VinylSd","BrkFace",4,"PConc",4,3,3,6,16,1,0,1129,5,1,1145,0,0,0,2,0,2,1,4,6,7,0,0,"Attchd",3,2,437,2,100,116,0,0,160000,-93.641635,42.06257,"Premium",11.982929094216,2006
"RL",43,3182,1,"Reg","Lvl","Inside",1,"Norm","TwnhsE","1Story",8,5,"Gable","VinylSd","BrkFace",4,"PConc",4,3,1,6,24,1,0,1232,5,1,1269,0,0,0,2,0,2,1,4,6,7,1,3,"Attchd",3,2,430,2,146,20,0,144,192000,-93.642252,42.062303,"Premium",12.1652506510099,2005
"RL",67,13300,1,"IR1","Lvl","Inside",1,"Norm","1Fam","SLvl",7,5,"Gable","VinylSd","None",4,"PConc",4,3,1,6,326,1,0,58,5,1,744,630,0,1,2,1,3,1,4,7,7,1,4,"BuiltIn",3,2,400,2,100,0,0,0,184500,-93.644076,42.061443,"Premium",12.1254047424627,2004
"RL",63,7851,1,"Reg","Lvl","Inside",1,"Norm","1Fam","2Story",6,5,"Gable","VinylSd","None",4,"PConc",4,3,1,6,625,1,0,235,5,1,860,1100,0,1,2,1,4,1,4,8,7,2,3,"BuiltIn",3,2,440,2,288,48,0,0,216500,-93.641487,42.060977,"Premium",12.2853458264247,2002
"RL",63,8577,1,"IR1","Lvl","Inside",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","None",4,"PConc",4,3,1,1,0,1,0,847,5,1,847,886,0,0,2,1,3,1,4,7,7,1,4,"BuiltIn",3,2,433,2,144,48,0,0,185088,-93.642447,42.061193,"Premium",12.1285866666383,2004
"RL",63,7750,1,"IR1","Lvl","Inside",1,"Norm","1Fam","SLvl",7,5,"Gable","VinylSd","None",3,"PConc",4,3,1,6,250,1,0,134,5,1,774,656,0,0,2,1,3,1,3,7,7,1,3,"BuiltIn",3,2,400,2,180,0,0,0,180000,-93.641325,42.060936,"Premium",12.1007121298723,2000
"RL",50,9505,1,"IR1","Lvl","CulDSac",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","BrkFace",4,"PConc",4,3,1,1,0,1,0,884,5,1,884,1151,0,0,2,1,3,1,4,8,7,1,4,"BuiltIn",3,2,434,2,144,48,0,0,222500,-93.641337,42.057103,"Premium",12.3126823805884,2001
"RL",108,14774,1,"IR1","Lvl","Corner",1,"Norm","1Fam","2Story",9,5,"Gable","VinylSd","BrkFace",4,"PConc",4,3,1,1,0,1,0,1393,5,1,1422,1177,0,0,2,1,4,1,4,10,7,1,3,"BuiltIn",3,3,779,2,668,30,0,0,333168,-93.651381,42.054386,"Luxury",12.7164021462475,1999
"RL",60,17433,1,"IR2","Lvl","CulDSac",1,"Norm","1Fam","2Story",8,5,"Hip","VinylSd","BrkFace",4,"PConc",5,3,1,1,0,1,0,1629,5,1,1645,830,0,0,2,1,4,1,4,7,7,1,3,"Attchd",3,3,962,2,23,172,0,256,355000,-93.652334,42.053243,"Luxury",12.7798730684576,1998
"RL",59,10593,1,"IR1","Lvl","Inside",1,"Norm","1Fam","1Story",7,5,"Hip","VinylSd","BrkFace",4,"PConc",4,3,1,6,919,1,0,801,5,1,1720,0,0,1,2,0,3,1,4,7,7,1,3,"Attchd",3,2,527,2,240,56,154,0,260400,-93.654206,42.051721,"Luxury",12.4699741893166,1996
"RL",98,12256,1,"IR1","Lvl","Corner",1,"Norm","1Fam","2Story",8,5,"Gable","HdBoard","BrkFace",4,"PConc",5,3,3,6,1032,1,0,431,5,1,1500,1122,0,1,2,1,3,1,4,9,7,2,3,"Attchd",2,2,712,2,186,32,0,0,325000,-93.653616,42.051674,"Luxury",12.6915804613119,1995
"RL",92,11764,1,"IR1","Lvl","CulDSac",1,"Norm","1Fam","2Story",8,7,"Gable","VinylSd","BrkFace",4,"PConc",4,3,1,6,524,1,0,628,5,1,1164,1106,0,0,2,1,4,1,4,9,7,1,4,"Attchd",3,3,671,2,132,57,0,0,290000,-93.650356,42.052457,"Luxury",12.5776362019627,2007
"RL",58,16770,1,"IR2","Lvl","CulDSac",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","BrkFace",4,"PConc",4,3,1,1,0,1,0,1195,4,1,1195,644,0,0,2,1,4,1,3,7,7,0,0,"Attchd",3,2,486,2,0,81,0,0,221000,-93.650578,42.052437,"Luxury",12.3059179804999,1998
"RL",56,14720,1,"IR1","Lvl","CulDSac",1,"Norm","1Fam","1.5Fin",8,5,"Hip","VinylSd","BrkFace",4,"PConc",4,3,3,6,816,1,0,1217,5,1,2053,1185,0,1,2,1,4,1,4,9,7,1,5,"Attchd",3,3,666,2,283,86,0,0,410000,-93.652972,42.050909,"Luxury",12.9239124386805,1996
"RL",73,8987,1,"Reg","Lvl","Inside",1,"Norm","1Fam","1Story",8,5,"Gable","VinylSd","BrkFace",4,"PConc",4,3,0,1,0,1,0,1595,5,1,1595,0,0,0,2,0,2,1,4,6,7,1,4,"Attchd",2,3,880,2,144,0,0,0,221500,-93.642368,42.05306,"Premium",12.3081778684673,2006
"FV",72,8640,1,"Reg","Lvl","Inside",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","None",3,"PConc",4,3,2,6,24,1,0,732,5,1,764,783,0,0,2,1,3,1,4,7,7,0,0,"Attchd",1,2,614,2,169,45,0,0,215200,-93.650318,42.051653,"Premium",12.2793231072698,2009
"FV",75,9000,1,"Reg","Lvl","Inside",1,"Norm","1Fam","1Story",8,5,"Gable","VinylSd","Stone",4,"PConc",4,3,3,6,1078,1,0,488,5,1,1566,0,0,1,2,0,3,1,4,7,7,0,0,"Attchd",2,2,750,2,144,168,0,0,262500,-93.647105,42.050084,"Premium",12.4780063610138,2008
"FV",100,12552,1,"Reg","Lvl","Corner",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","None",4,"PConc",4,3,1,6,222,1,0,769,5,1,991,956,0,0,2,1,3,1,4,8,7,1,4,"Attchd",2,2,678,2,0,136,0,0,254900,-93.642773,42.052347,"Premium",12.4486265903642,2005
"FV",84,10440,1,"Reg","Lvl","Corner",1,"Norm","1Fam","1Story",6,5,"Gable","VinylSd","None",4,"PConc",5,3,1,6,1414,1,0,54,5,1,1468,0,0,1,2,0,2,1,4,6,7,1,4,"Attchd",3,2,528,2,0,102,0,216,271500,-93.642224,42.051429,"Premium",12.5117174183561,2005
"RL",76,10142,1,"IR1","Lvl","Inside",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","None",4,"PConc",4,3,1,6,656,1,0,300,5,1,956,1128,0,1,2,1,4,1,4,8,7,0,0,"BuiltIn",2,2,618,2,0,45,0,0,233000,-93.692309,42.036255,"Premium",12.3587937325478,2004
"RL",70,11920,1,"Reg","Lvl","Inside",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","BrkFace",4,"PConc",4,3,3,1,0,1,0,831,5,1,831,828,0,0,2,1,3,1,4,8,7,0,0,"Attchd",2,2,484,2,144,68,0,0,181000,-93.692412,42.036113,"Premium",12.106252310248,2004
"RL",65,8880,1,"IR1","Lvl","Inside",1,"Norm","1Fam","2Story",7,5,"Gable","VinylSd","None",4,"PConc",4,3,1,6,695,1,0,253,5,1,1222,888,0,1,2,1,3,1,4,8,7,2,2,"Attchd",2,2,463,2,0,130,0,0,205000,-93.68981,42.036026,"Premium",12.2307652581205,2002
"RL",50,8012,1,"Reg","Lvl","Inside",1,"Norm","TwnhsE","1Story",6,5,"Gable","Plywood","None",3,"CBlock",4,3,1,4,543,4,119,261,3,1,923,0,0,0,2,0,2,1,3,5,7,1,3,"Attchd",2,1,264,2,80,0,0,0,143000,-93.686417,42.03548,"Premium",11.870599909242,1980
"RL",70,11218,1,"Reg","Lvl","Inside",1,"Norm","1Fam","2Story",6,5,"Gable","Wd Sdng","None",4,"PConc",4,3,1,1,0,1,0,1055,5,1,1055,790,0,0,2,1,3,1,4,8,7,1,3,"Attchd",2,2,462,2,635,104,0,0,189000,-93.687694,42.036659,"Premium",12.1495022940418,1992
"RL",55,7892,1,"Reg","Lvl","Inside",1,"Norm","TwnhsE","1Story",6,5,"Gable","Plywood","None",3,"CBlock",4,3,1,1,0,1,0,918,3,1,918,0,0,0,2,0,2,1,3,5,7,1,3,"Attchd",1,1,264,2,28,0,0,0,99500,-93.686263,42.034589,"Premium",11.5079129231467,1979
"RL",50,7175,1,"Reg","Lvl","Inside",1,"Norm","TwnhsE","1Story",6,5,"Gable","Plywood","None",3,"CBlock",4,3,1,5,623,2,121,0,3,1,752,0,0,1,1,0,2,1,3,4,7,0,0,"Attchd",1,1,264,2,353,0,0,90,125000,-93.686264,42.0347,"Premium",11.7360690162844,1984
"RL",59,9453,1,"IR1","Lvl","CulDSac",1,"RRNe","1Fam","2Story",7,7,"Gable","HdBoard","None",4,"PConc",4,3,1,4,402,1,0,594,5,1,1014,730,0,0,2,1,3,1,4,7,7,0,0,"Attchd",2,2,457,2,370,70,0,0,194500,-93.68628,42.036633,"Premium",12.1781874420406,2003
"RL",81,9672,1,"Reg","Lvl","Corner",1,"Norm","1Fam","1Story",6,5,"Hip","HdBoard","None",3,"PConc",4,3,1,6,338,1,0,702,3,1,1097,0,0,0,2,0,3,1,3,6,7,0,0,"Attchd",1,2,480,2,0,0,0,0,152000,-93.685028,42.034555,"Premium",11.9316357998284,1985
"RL",70,8400,1,"Reg","Lvl","Inside",1,"Norm","1Fam","2Story",6,6,"Gable","HdBoard","BrkFace",3,"CBlock",4,3,1,1,0,1,0,650,3,1,888,676,0,0,2,1,3,1,3,7,7,1,3,"Attchd",1,2,476,2,0,50,0,204,171000,-93.685029,42.034678,"Premium",12.0494188354848,1981
"RH",70,9800,1,"Reg","Lvl","Corner",1,"Feedr","1Fam","1Story",5,5,"Gable","Wd Sdng","None",3,"BrkTil",3,3,1,1,0,1,0,816,3,0,1012,0,0,0,1,0,2,1,3,5,7,0,0,"Detchd",1,1,429,2,121,0,80,0,67500,-93.6790694,42.0360754,"Premium",11.1198828768606,1950
"RM",68,8930,1,"Reg","Lvl","Inside",1,"RRAe","Duplex","1.5Fin",6,5,"Gable","VinylSd","None",3,"Slab",0,0,0,0,0,0,0,0,3,1,1318,584,0,0,2,0,4,2,3,8,7,0,0,"Attchd",1,2,539,2,0,0,0,0,112000,-93.677205,42.036535,"Mid-Range",11.6262541502772,1978
"RL",88,11782,1,"IR1","Lvl","Inside",1,"Norm","1Fam","SFoyer",5,7,"Gable","HdBoard","None",3,"CBlock",3,3,3,5,899,1,0,210,3,1,1155,0,0,1,1,0,3,1,4,6,5,0,0,"Detchd",1,2,576,2,192,0,0,0,148000,-93.673669,42.034793,"Mid-Range",11.9049675527463,1995
"RL",65,8450,1,"Reg","Lvl","Inside",1,"RRAe","1Fam","1Story",5,8,"Gable","MetalSd","None",3,"CBlock",3,3,1,6,553,4,117,224,5,1,894,0,0,1,1,0,3,1,3,5,7,1,4,"Detchd",1,1,336,2,416,144,0,0,138500,-93.670956,42.035685,"Mid-Range",11.8386256046095,2009
"RL",70,9819,1,"IR1","Lvl","Inside",1,"Norm","1Fam","1Story",5,5,"Gable","MetalSd","BrkFace",3,"CBlock",3,3,1,4,450,1,0,432,3,1,900,0,0,0,1,0,3,1,3,5,7,0,0,"Detchd",1,1,280,2,0,0,0,0,122000,-93.672096,42.034856,"Mid-Range",11.7117763237154,1967
"RL",75,7500,1,"Reg","Lvl","Corner",1,"Feedr","1Fam","1Story",5,5,"Gable","HdBoard","None",3,"CBlock",3,3,1,5,824,1,0,216,2,1,1040,0,0,1,1,1,3,1,3,5,7,0,0,"Attchd",3,1,308,2,0,0,220,0,133000,-93.672067,42.03457,"Mid-Range",11.7981044072039,1963
